FILE,ISSUES,BUGS,SUPPORT_BUGS,P1,P2,P3,P4,MAX_COMPLEXITY,HAL_VOLUME,COVERAGE,LINES,LINES_COVERED
"68d53e3cee060e2d92000e904cdb12b522b5d7ffe03d768a6bfe7ba3.py",6,1,1,0,0,1,0,10,57.359400011538504,0.358,81,29
"cbd681b8a4f138ad40de1b58717968a1c660b6cc68aa55c6da446f55.py",1,1,0,0,1,0,0,-1,0,0.0,18,0
"34343cf36b0293996de705b464f121d0953e9edf3b70cfaa4ede825b.py",8,5,4,1,3,1,0,10,450.3799746402741,0.3553,197,70
"4d193df52b164bf8bad21e9a8417c474380b725fd782f8bc69729b6b.py",8,4,4,2,2,0,0,-1,0,1.0,7,7
"f0005e40fa910fb8ad7c8972cc7ce2d10e87d80e5e5a0480d4504f22.py",15,5,5,0,3,1,1,12,1374.072943916681,0.299,398,119
"e2acb4adf22f6379967d87da7e0362a1af5cd0aa4e2f50262d5b656a.py",10,6,4,0,3,1,2,23,95.90827503317318,0.1724,58,10
"261cbffed05b632fc4a7cac65dfee2b7714ca3ddcab406a2d9afb13f.py",18,10,5,3,4,3,0,17,1920.896842992399,0.7559,426,322
"d9356a8aeeb5139c279eb7d530e7bef4e2db6777da69abfef7de06a3.py",1,1,1,0,1,0,0,9,44.97261104228487,0.0,0,0
"c144927cb8cffea1bb45c305c7f08e328abe94258f00b904339dddb1.py",6,4,2,0,2,1,1,16,745.8796134675903,0.5867,271,159
"0a30804292e6035c148d0e12ac6db3ac4a8fdfee2c22c1e4b120ae31.py",5,3,2,0,1,1,1,21,2123.595166872214,0.1148,488,56
"e0bf382698bfa831b773922bc8cf0c68831d90d96c84638bf6ca8cee.py",40,30,7,11,15,3,1,14,505.2398782190116,0.7229,231,167
"0b4bc2028a4bc83262921126274ec1d21b2c3f450b37511f7c582c03.py",14,7,0,2,4,1,0,17,1332.5006806360016,0.1837,294,54
